change|n.改变,变化,转变,找回的零钱,找头,辅币vt.改变,变革,改造,兑换
plain|n.平原,草原adj.简单的,明白的,平常的,清晰的,普通的,朴素的adv.清楚地n.[计]无格式
nearly|adv.几乎,密切地
disappear|vi.消失,不见
none|adv.决不,毫不pron.一个也没有,毫无
perfect|n.完成式adj.完美的,全然的,理想的,正确的,熟练的,精通的完成式的vt.使完美,修改,使熟练
hung|vbl.hang的过去式和过去分词
ebook|null
shape|n.外形,形状,形态,(尤指女子的)体形,身段,形式vt.制作,定形,使成形,塑造,使符合vi.成形,形成,成长
possibly|adv.可能地,或者
security|n.安全
strength|n.力,力量,力气,实力,兵力,浓度
remind|vt.提醒,使想起
paper|n.纸,报纸,文件,证件,论文,考卷vt.用纸糊(墙壁等),用纸包装adj.纸的,象纸的,纸上的
pretty|adj.漂亮的,可爱的,优美的,机灵的,恰当的
meat|n.(食用)肉,肉类
ago|adv.以前的,以往的
examine|v.检查,调查,考试
unknown|adj.不知道的,未知的n.不知名的
damage|n.损害,伤害v.招致损害n.[律](用复数)赔偿金
daylight|n.日光,白昼,白天
surface|n.表面,外表,水面adj.表面的,肤浅的
mile|n.英里,较大的距离
beside|prep.在旁边,和...比较
horrible|adj.可怕的,恐怖的,讨厌的
danger|n.危险,危险物,威胁
fact|n.事实,实际,实情,真相,(犯罪)行为,论据
thousand|num.一千,一千个n.许多,无数
direction|n.方向,指导,趋势,(常用复数)指示,用法,说明(书),收件人地址
generation|n.产生,发生,一代,一代人
charge|n.负荷,电荷,费用,主管,掌管,充电,充气,装料v.装满,控诉,责令,告诫,指示,加罪于,冲锋,收费
thousands|n.数千
remark|n.备注,评论,注意,注释vt.评论,注意,谈及vi.谈论
sunset|n.日落,晚年
tax|n.税,税款,税金vt.对...征税,使负重担,指控,责备
during|prep.在...的期间,在...的时候
somehow|adv.不知何故
kept|vbl.keep的过去式和过去分词adj.受人资助控制的
stay|n.逗留,延缓,中止,支柱v.在,暂住,坚持,止住,抑制,延缓,停(下)
attention|n.注意,关心,关注,注意力,(口令)立正!
account|n.计算,帐目,说明,估计,理由vi.说明,总计有,认为,得分vt.认为
traveller|n.旅行者
felt|n.毡,毡制品,(造纸用的)毛布vt.把...制成毡,使粘结vi.粘结vbl.feel的过去式和过去分词
psychologist|n.心理学者
medical|n.医生,体格检查adj.医学的,内科的,<古>(医)药的
dimension|n.尺寸,尺度,维(数),度(数),元
laboratory|n.实验室
appear|vi.出现,看来,似乎,公开露面,出版,发表
struck|adj.受罢工影响的vbl.strike的过去式和过去分词
suppose|vt.推想,假设,猜想vi.料想conj.假使...结果会怎样
shadow|n.阴影,影子,影像,预兆,庇护,隐蔽处,阴暗,少许vt.遮蔽,使朦胧,预示,尾随vi.渐变,变阴暗
course|n.过程,经过,进程,方针,路线,跑道,课程,一道菜v.追猎,急行,运行,流动学业
archive|vt.存档n.档案文件
silent|adj.寂静的,沉默的,无声的,无记载的
effort|n.努力,成就
hesitate|v.犹豫,踌躇,不愿
decay|vi.腐朽,腐烂,衰减,衰退n.腐朽,腐烂,衰减,衰退v.衰落
altogether|adv.完全地,总而言之
faint|n.昏晕,昏倒adj.虚落地,衰弱的,软弱的,无力的,微弱的,暗淡的,模糊的vi.昏晕,昏倒,变得微弱,变得没气力
queer|n.同性恋者adj.奇怪的,可疑的，不舒服的vt.搞糟n.同性恋者
sudden|adj.突然的,意外的
humanity|n.人性,人类,博爱,仁慈
associate|vt.使发生联系,使联合vi.交往,结交n.合作人,同事adj.副的
determined|adj.坚决的,决定了的
lawn|n.草地,草坪,(均匀生长于固体培养基的)菌苔
slope|n.斜坡,斜面,倾斜v.(使)顺斜
intellectual|adj.智力的,有智力的,显示智力的n.知识分子
approach|n.接近,逼近,走进,方法,步骤,途径,通路vt.接近,动手处理vi.靠近
expect|vt.期待,预期,盼望,指望,<口>(料)想,认为
flame|n.火焰,光辉,光芒,热情,激情
interest|n.兴趣,关心,重要性,影响,利息,利益,利害vt.使发生兴趣,引起...的注意
motion|n.运动,动作v.运动
assured|adj.确实的,确定的
loose|n.解放,放任,放纵adj.宽松的,不精确的,不牢固的,散漫的,自由的vt.释放,放枪,开船vi.变松,开火adv.松散地
abundant|adj.丰富的,充裕的,丰富,盛产,富于
impression|n.印象,感想,盖印,压痕
social|adj.社会的,爱交际的,社交的,群居的
forest|n.森林,林木,<英>御猎场adj.森林的,住在森林中的vt.植树于
waste|n.废物,浪费,损耗,消耗,地面风化物,垃圾,荒地adj.废弃的,荒芜的,多余的vt.浪费,消耗,使荒芜vi.被浪费,挥霍钱财,变消瘦,被损耗
journalist|n.新闻记者,从事新闻杂志业的人
dread|n.恐惧,恐怖,可怕的人(或物),畏惧v.惧怕,担心
shone|v.shine的过去及过去分词
touched|adj.被感动的
matter|n.事件,问题,物质,内容,实质,原因,(印刷或书写的)文件,(文章或讲话等的)素材vi.有关系,要紧
spoke|n.轮辐,扶梯棍,刹车v.装辐于,刹车
intelligence|n.智力,聪明,智能
metal|n.金属
mechanism|n.机械装置,机构,机制
drift|n.冲洗,漂流物,观望,漂流v.(使)漂流
natural|adj.自然的,自然界的,关于自然界的,天生的,天赋的,普通的,正常的,简单自然的本位号
movement|n.运动,动作,运转,乐章
distance|n.距离,远离,一长段时间,远方,远景,遥远,(时间的)间隔,(时日的)经过
rare|adj.稀罕的,杰出的,珍贵的,(肉类)半熟的adv.非常
circle|n.圆周,圆形物,派系,循环v.围,环绕盘旋
narrow|n.狭窄部分,海峡,隘路adj.狭窄的,精密的,严密的,有限的,气量小的,勉强的,眼光短浅的vi.变窄vt.使变狭窄,使缩小
freely|adv.自由地,直率地
blow|n.殴打,突然的打击v.风吹,吹气于,叫,喘气
web|n.网,蛛丝,蹼,翼手,织物,圈套,卷筒纸vi.使陷入罗网,形成网vt.织蜘蛛网于,使落入圈套环球网
recover|vt.重新获得,恢复,使改过vi.痊愈,复原,胜诉n.DOS命令：从含有损坏磁盘扇区的磁盘上恢复文件
fallen|adj.倒下的,伐倒的,伏地的,堕落的,落下来的,陷落的vbl.fall的过去分词
underground|adj.地下的,地面下的,秘密的n.[英]地铁adv.在地下,秘密地
recognize|vt.认可,承认,公认,赏识vi.具结
explanation|n.解释,解说,说明,辩解,互相讲明
struggle|n.竞争,努力,奋斗vi.努力,奋斗,挣扎vt.尽力使得,使劲移动
pleasant|adj.令人愉快的,舒适的
realize|vt.认识到,了解,实现,实行
possible|adj.可能的,可能存在或发生的
rock|n.岩石,暗礁,石头,摇动vt.摇摆,使动摇vi.摇,摇动
suggest|vt.建议,提出,使想起,暗示
absolute|adj.完全的,绝对的
seven|num.七,七个
heat|n.热,热度,热烈,高潮,压力vi.加热,激昂,发热,发怒vt.把...加热,使激动abbr.[军]HighExplosive-Anti-Tank,破甲弹
drew|vbl.draw的过去式
edition|n.版本,版
murmur|n.低沉连续的声音,咕哝,怨言,低语v.发低沉连续的声音,发怨言,低声说,低语
habit|n.习惯,习性
dial|n.刻度盘,钟面,转盘,(自动电话)拨号盘v.拨
warm|adj.暖和的,暖的,温暖的,色情的,激烈的,热烈的,多情的,兴奋的adv.(常用以构成复合词)暖和地vt.使温暖,弄热,使兴奋,使热烈vi.变暖和,变温暖,激动,同情,爱好n.暖,保暖物
planet|n.[天]行星
difficulty|n.困难,难点
quiet|adj.静止的,宁静的,从容的n.安静,闲适vi.平静下来vt.使平静,使安心,减轻(疑虑、恐惧等)
possibility|n.可能性,可能发生的事物
contact|n.接触,联系vt.接触,联系
paid|vbl.pay的过去式和过去分词
trick|n.诡计,骗局,恶作剧,窍门,诀窍vt.欺骗,哄骗
net|n.网,网络,网状物,净利,实价adj.净余的,纯粹的vt.用网捕,净赚,得到vi.编网[域]Nerworkoperationsandservicecenters,网络服务商
guess|vt.猜测,推测,猜中,猜对,想,认为vi.猜,推测n.猜测,推测
fourth|num.第四个
perform|vt.履行,执行,表演,演出v.完成任务
smoke|n.烟,烟尘,烟幕v.抽烟,吸烟vi.冒烟
pause|n.中止,暂停,休止符vi.暂停,中止,停顿,踌躇n.暂停n.DOS命令：暂停批文件处理,在继续处理之前等待按任一键
carefully|adv.小心地,谨慎地
import|n.进口货(常用复数),进口,输入,意思,重要性vt.输入,进口,含...的意思,重要,引入vi.有关系,有重要性
familiar|adj.熟悉的,常见的,听惯的,亲近的,随便的n.密友,熟客,常客
flash|[计]Macromedia公司开发的动画编辑工具n.闪光,闪现,一瞬间vi.闪光,闪现,反射,使迅速传便vt.使闪光,反射adj.闪光的,火速的
bare|adj.赤裸的,无遮蔽的,空的vt.使赤裸,露出
presence|n.出席,到场,存在
person|n.人,身体,容貌,[语法]人称
existence|n.存在,实在,生活,存在物,实在物
terror|n.恐怖,可怕的人,恐怖时期,恐怖行动
late|adj.迟的,晚(期)的,已故的,新近的adv.晚,迟,最近,在晚期
unpleasant|adj.使人不愉快的,讨厌的
destroy|vt.破坏,毁坏,消灭v.消灭,摧毁
obtain|vt.获得,得到
brass|n.黄铜,黄铜制品,厚脸皮
anyone|pron.任何一个
Thursday|n.星期四
medium|n.媒体,方法,媒介adj.中间的,中等的,半生熟的
horror|n.惊骇,恐怖,惨事,极端厌恶
thickness|n.厚度,浓度,稠密,(一)层,混浊
pipe|n.管,导管,烟斗,管乐器,笛声vt.以管输送,吹哨子vi.吹笛,尖叫
tunnel|n.隧道,地道
common|adj.共同的,公共的,公有的,普通的,庸俗的,伪劣的n.[复][总]平民,公有,普通,共通
evidently|adv.明显地,显然
horizon|n.地平线n.地平(线),(知识,思想等的)范围,视野
descend|vi.下来,下降,遗传(指财产,气质,权利),突击,出其不意的拜访v.下去
doorway|n.门口
edge|n.刀口,利刃,锋,优势,边缘,优势,尖锐vt.使锋利,挤进,镶边,开刃vi.缓缓移动,侧着移动
naturally|adv.自然地
knowledge|n.知识,学问,认识,知道,<古>学科
ease|n.安逸,安心,不费力,悠闲vt.使悠闲,使安心,减轻,放松vi.减弱,减轻,放松,灵活地移动
energy|n.精力,精神,活力,[物]能量
weak|adj.不牢固的,弱的,虚弱的,软弱的,淡的,疲软的,无力的,不耐用的
tongue|n.舌头,舌状物,语言,说话方式,口语vt.舔,闲谈,斥责vi.吹管乐器
jump|n.跳跃,上涨,惊跳vt.跳跃,跃过,突升,使跳跃vi.跳跃,暴涨
plate|n.盘子,金属板,图版,金银餐具vt.镀（金,银等）,电镀,给...装钢板
sheet|n.(一)片,(一)张,薄片,被单,被褥
safe|n.保险箱,饭橱,菜橱,冷藏室adj.免受攻击的,安全的,可靠的,有把握的
forgotten|vbl.forget的过去分词
plant|n.植物,庄稼,工厂,车间,设备vt.种植,栽培,培养,安置vi.种植
crawl|vi.爬行,蠕动,徐徐行进n.爬行,蠕动,缓慢的行进
perfectly|adj.极佳地,完美的adv.很,完全,完美地
glance|vi.扫视,匆匆一看n.一瞥,眼光,匆匆一看
afternoon|n.午后,下午adv.下午的,晚期
helpless|adj.无助的,无能的,没用的
restless|adj.得不到休息的,不平静的,不安宁的
gently|adv.轻轻地,逐渐地
admit|v.容许,承认,接纳
escape|n.逃,逃亡,溢出设备,出口,逃跑,[植]野生vi.逃脱,避开,溜走vt.逃避,避免,被忘掉
foolish|adj.愚蠢的,傻的,笨的,卤莽的,可爱的
possession|n.拥有,占有,所有,着迷,领土,领地,财产(常用复数),自制
grasp|vt.抓住,抓紧,掌握,领会n.抓住,抓紧,掌握,领会
grass|n.草
till|prep.直到,在...以前,迄conj.在...以前,直到...为止vt.耕种n.(商店)铁柜,放钱的抽屉,备用现金,冰渍
yellow|n.黄色adj.黄色的
cost|n.成本,价钱,代价vt.价值为,(使)花费(金钱,时间,劳力等),使失去(生命,健康等),令人付出vi.花费
million|num.百万,百万个n.无数
secure|adj.安全的,可靠的,放心的,无虑的v.保护
post|n.柱,邮件,岗位,职位,邮政vt.张贴,揭示,邮递,布置vi.快速旅行adv.加速地abbr.[军]PassiveOpticalSeekerTechnique,被动光学自导的导弹技术
lip|n.嘴唇,唇缘
civilization|n.文明,文化,文明社会文明,一个著名游戏的名称
spite|n.(in～of)不顾,不管,敌意v.困扰
learn|vi.学习,听到,获悉vt.学习,学会,认识到
individual|n.个人,个体adj.个别的,单独的,个人的
beauty|n.美,美景,美好的东西
peer|n.同等的人,贵族vi.凝视,窥视vt.与...同等,封为贵族
expense|n.费用,代价,损失,开支,费钱之物
spirit|n.精神,灵魂,幽灵,妖精,勇气,火力,热情,情绪vt.诱拐,鼓励,鼓舞
crowd|n.人群,群众,一堆(东西),一伙v.群集,拥挤,挤满
easily|adv.容易地,不费力地
laughter|n.笑,笑声
thirty|num.三十
curious|adj.好奇的,求知的,古怪的,爱挑剔的
chin|n.下巴,下颚
link|n.链环,连结物,火把,链接vt.连结,联合,挽vi.连接起来
afterwards|adv.然后,后来地
cheek|n.颊,厚颜,类似颊的事物,<俚>臀部
addition|n.加,加起来,增加物,增加,加法
freedom|n.自由,自主,直率,特权
glimpse|n.一瞥,一看v.瞥见
online|n.联机,在线式
fight|n.打架,战斗,斗志vi.打仗,搏斗,对抗,打架vt.与...打仗,指挥战斗,反对...提案
exploration|n.探险,踏勘,探测,[医](伤处等的)探查,探察术
descent|n.降下,降落,世系,血统,侵袭
blind|adj.瞎的,盲目的vt.使失明,缺乏眼光或判断力
rarely|adv.很少地,罕有地
merely|adv.仅仅,只,不过
distress|n.悲痛,穷困,不幸,危难,忧伤v.使悲痛,使穷困,使忧伤
visible|adj.看得见的,明显的,显著的n.可见物
greatly|adv.很,非常
workshop|n.车间,工场
play|n.游戏,比赛,运动,赌博,剧本v.玩,扮演,播放,进行比赛v.播放
site|n.地点,场所,遗址vt.定...的地点n.站点
mankind|n.人类,男性,男子
preserved|保护
immediate|adj.直接的,紧接的,紧靠的,立即的,知觉的
extreme|adj.尽头的,极端的,极度的,偏激的,最后的n.极端,极端的事物
manner|n.礼貌,风格,方式,样式,习惯
loss|n.损失,遗失,失败,输,浪费,错过,[军]伤亡,降低
bench|n.长椅子
spot|n.班点,污点,地点,场所,现场v.沾污,弄脏,侦察vt.认出,发现
knee|n.膝,膝盖
attain|vt.达到,获得v.达到
easy|adj.容易的,安逸的,舒适的,宽裕的,小康的,从容的,宽容的,流畅的adv.不费力的,轻松,悠闲,慢慢地n.短暂的休息
weapon|n.武器
pull|v.拉,拖,拔n.拉,拖,拉力,牵引力
delight|n.快乐,高兴,喜悦v.(使)高兴,(使)欣喜
pace|n.(一)步,速度,步调,步法,步态vi.踱步,缓慢的走vt.用步测,踱步于,(马)溜花蹄
shoe|n.鞋,鞋子v.穿...鞋
sunlight|n.日光,阳光,日照
array|n.排列,编队,军队,衣服,大批vt.部署,穿着,排列
population|n.人口
broad|adj.宽的,阔的,广泛的,明朗的,露骨的,显著的,主要的adv.宽阔地n.宽阔部分
built|vbl.build的过去式和过去分词
balanced|adj.平稳的,安定的,和谐的
candle|n.蜡烛vt.对着光检查
strike|n.罢工,打击,殴打vt.打,撞击,冲击,罢工,打动,划燃,到达,侵袭vi.打,打击,罢工,抓,敲,搏动,打动,穿透
overlook|vt.俯瞰,耸出,远眺,没注意到n.眺望,俯瞰中的景色
chill|n.寒意,寒战,寒心adj.寒冷的,扫兴的v.使冷,变冷,冷藏
teeth|n.牙齿
tm|null
filby|null
I|I
II|II
III|II
slower|null
upper|adj.上面的,上部的
blackness|null
larger|null
swiftly|null
taken|null
faster|null
slept|null
getting|null
brighter|null
ll|null
thither|null
mine|n.矿,矿山,矿井,源泉,宝库,地雷,水雷vt.挖掘,开采,在...布雷,破坏vi.开矿,埋设地雷pron.我的
alternative|n.二中择一,可供选择的办法,事物adj.选择性的,二中择一的
representation|n.表示法,表现,陈述,请求,扮演,画像,继承,代表
determine|v.决定,确定,测定,使下定决心,[律]使终止
digit|n.阿拉伯数字,手指或足趾,一指宽(约四分之三英寸)
range|n.山脉,行列,范围,射程vt.排列,归类于,使并列,放牧vi.平行,延伸,漫游
era|n.时代,纪元,时期,[地]代
universal|adj.普遍的,全体的,通用的,宇宙的,世界的
coordinate|n.同等者,同等物,坐标(用复数)adj.同等的,并列的vt.调整,整理
four-digit|null
subroutine|子程序, routine: n.例行公事,常规,日常事务,程序
two-digit|null
lang|null
setting|n.安置,安装,(太阳)落山,(固定东西的)框架,底座
January|n.一月(略作Jan)
new-line|null
fielddescriptor|fielddescriptor
julian|julian
greater|greater
twenty-first|twenty-first
unrecognized|unrecognized
determinable|determinable
twentieth|adj.第二十的,二十分之一的n.第二十(个),二十分之一,(月)的第二十日
unspecified|adj.未指明的,未详细说明的
time-zone|time-zone
posix|posix
multibyte|null
attention|n.注意,关心,关注,注意力,(口令)立正!
localtime|null
keyword|null
unmodified|null
vi|vi
subcommand|subcommand
ctrl|null
map|n.地图,图v.绘制地图
cursor|n.指针
edit|vt.编辑,校订,剪辑n.编辑工作
buffer|n.缓冲器
sequence|n.次序,顺序,序列
esc|null
macro|null
letter|n.文字,字母,信函,字面意义,铅字,证书,文学,学问vt.用字母标明,在...上刻(或题)字vi.写印刷体字母
session|n.会议,开庭
cancel|vt.取消,删去
tag|n.标签,鞋带、绳子等末端的金属物,垂下物,附属物,名称,标记符,陈词滥调,结束语vt.加标签于,紧随,添饰,起浑名,连接vi.紧随
